split_date,Unnamed: 0,learning_rate,epochs,n_steps_in,early_stopping,smoothing,kernel_size,filters,pool_size,layers,dense_units,differencing,features,metric60,time60,parameter60,epochs60
2022-06-01,36146,0.001,200,60,True,10,5,128,6,2,30,True,FCS+,0.120614074,3.8027043,125186.0,11.0
2022-07-01,34861,0.001,200,60,True,10,15,128,2,1,30,True,FCS+,0.083072945,5.127698,187778.0,12.0
2022-08-01,33153,0.001,200,60,True,10,2,128,2,1,30,True,climate,0.10794041,4.066618,151042.0,12.0
2022-09-01,31803,0.001,200,60,True,10,5,128,2,1,30,True,climate,0.07204935,6.324459,179458.0,20.0
2022-10-01,51347,0.01,200,365,True,10,10,128,4,2,30,True,economics,0.12231663,7.984383,321666.0,13.0
2022-11-01,29752,0.001,200,365,True,10,10,128,6,1,30,True,economics,0.15534452,6.415725,303618.0,13.0
2022-12-01,8094,0.0001,200,365,True,10,5,256,6,1,30,True,all,0.08149909,43.662933,630146.0,65.0
2023-01-01,46910,0.01,200,365,True,10,5,64,6,1,30,True,FCS,0.05678289,4.104169,136834.0,14.0
2023-02-01,45446,0.01,200,365,True,10,2,256,6,2,30,True,FCS+,0.042192046,7.5359945,247682.0,12.0
2023-03-01,44006,0.01,200,365,True,10,2,256,6,2,30,True,FCS+,0.04475759,7.3366404,247682.0,10.0
2023-04-01,42520,0.01,200,365,True,10,2,128,4,1,30,True,FCS,0.07398745,3.9312837,372482.0,10.0
2023-05-01,41186,0.01,200,365,True,10,5,128,6,2,30,True,FCS+,0.059942022,7.080595,159746.0,10.0
