split_date,Unnamed: 0,learning_rate,epochs,n_steps_in,early_stopping,smoothing,kernel_size,filters,pool_size,layers,dense_units,differencing,features,metric60,time60,parameter60,epochs60
2022-06-01,56883,0.01,200,365,True,10,2,64,2,1,30,True,climate,0.079585165,6.506459,389202.0,8.0
2022-07-01,55443,0.01,200,365,True,10,2,64,2,1,30,True,climate,0.07064753,5.9719343,389202.0,7.0
2022-08-01,54170,0.01,200,365,True,10,5,256,6,1,30,True,FCS,0.09225777,17.212288,509586.0,31.0
2022-09-01,52849,0.01,200,365,True,10,15,64,4,2,30,True,all,0.075172685,18.999832,282578.0,11.0
2022-10-01,50446,0.01,200,60,True,10,2,128,4,2,30,True,FCS+,0.06376942,5.3167486,83090.0,9.0
2022-11-01,49006,0.01,200,60,True,10,2,128,4,2,30,True,FCS+,0.07199818,4.9625373,83090.0,7.0
2022-12-01,48600,0.01,200,425,True,10,2,64,2,1,30,True,FCS,0.05449922,4.73856,434898.0,9.0
2023-01-01,46556,0.01,200,180,True,10,5,64,6,2,30,True,FCS+,0.06388812,6.5329905,67538.0,10.0
2023-02-01,45720,0.01,200,425,True,10,2,64,2,1,30,True,FCS,0.06733295,6.972373,434898.0,14.0
2023-03-01,23271,0.001,200,60,True,10,10,128,6,1,30,True,FCS+,0.08072339,6.510825,115218.0,11.0
2023-04-01,42840,0.01,200,425,True,10,2,64,2,1,30,True,FCS,0.11682528,5.2813735,434898.0,8.0
2023-05-01,40891,0.01,200,180,True,10,10,128,2,1,30,True,FCS+,0.08971928,7.3507442,422418.0,5.0
