split_date,Unnamed: 0,units,learning_rate,dropout,epochs,n_steps_in,simple,early_stopping,smoothing,features,differencing,metric60,time60,parameter60,epochs60
2022-06-01,1621,10,0.001,0.1,150,60,False,True,10,FCS+,True,0.13297024,49.76449,2539.0,43.0
2022-07-01,6085,30,0.01,0.1,150,180,False,True,10,FCS,True,0.122744314,208.92397,12399.0,122.0
2022-08-01,9141,50,0.01,0.0,150,60,False,True,10,FCS+,True,0.06530684,30.470772,36659.0,33.0
2022-09-01,5770,30,0.01,0.0,150,365,False,True,10,FCS,True,0.07441936,45.385452,12399.0,29.0
2022-10-01,9117,50,0.01,0.0,150,425,False,True,10,economics,True,0.10381034,47.5185,39059.0,27.0
2022-11-01,9091,50,0.01,0.0,150,365,False,True,10,FCS+,True,0.09199786,50.65657,36659.0,21.0
2022-12-01,5999,30,0.01,0.1,150,425,False,True,10,all,True,25.902029,24.422571,24879.0,3.0
2023-01-01,5979,30,0.01,0.1,150,425,False,True,10,all,True,12.520037,26.48937,24879.0,2.0
2023-02-01,2593,10,0.01,0.1,150,365,False,True,10,climate,True,0.047587752,170.84656,4339.0,53.0
2023-03-01,9012,50,0.01,0.0,150,365,False,True,10,economics,True,0.045105167,198.48035,39059.0,89.0
2023-04-01,9277,50,0.01,0.1,150,425,False,True,10,economics,True,0.060650982,69.10158,39059.0,17.0
2023-05-01,8972,50,0.01,0.0,150,365,False,True,10,economics,True,0.057317056,50.42536,39059.0,19.0
