split_date,Unnamed: 0,units,learning_rate,dropout,epochs,n_steps_in,simple,early_stopping,smoothing,features,differencing,metric60,time60,parameter60,epochs60
2022-06-01,5260,30,0.001,0.5,150,60,False,True,10,FCS,True,0.06288852,97.98993,11493.0,51.0
2022-07-01,5810,30,0.01,0.0,150,365,False,True,10,FCS,True,0.09793603,113.74837,11493.0,42.0
2022-08-01,8585,50,0.001,0.5,150,180,False,True,10,FCS,True,0.10527409,92.6686,31153.0,25.0
2022-09-01,9405,50,0.01,0.1,150,180,False,True,10,FCS,True,0.075735554,223.1684,31153.0,63.0
2022-10-01,1830,10,0.001,0.5,150,365,False,True,10,FCS,True,0.063729495,384.9658,1433.0,80.0
2022-11-01,2371,10,0.01,0.0,150,365,False,True,10,FCS+,True,0.04791903,58.61413,3113.0,16.0
2022-12-01,5147,30,0.001,0.5,150,180,False,True,10,economics,True,0.077557825,184.76236,18573.0,52.0
2023-01-01,5687,30,0.01,0.0,150,180,False,True,10,economics,True,0.037624337,26.925686,18573.0,10.0
2023-02-01,5107,30,0.001,0.5,150,180,False,True,10,economics,True,0.06538267,393.8446,18573.0,103.0
2023-03-01,9576,50,0.01,0.5,150,425,False,True,10,FCS+,True,0.025792714,91.898384,39553.0,13.0
2023-04-01,1702,10,0.001,0.5,150,60,False,True,10,economics,True,0.05786967,188.80882,3793.0,82.0
2023-05-01,9245,50,0.01,0.1,150,180,False,True,10,FCS,True,0.026555624,53.29658,31153.0,11.0
