split_date,Unnamed: 0,units,learning_rate,dropout,epochs,n_steps_in,simple,early_stopping,smoothing,features,differencing,metric60,time60,parameter60,epochs60
2022-06-01,4425,30,0.0001,0.9,150,180,False,True,10,FCS,True,0.093626045,541.76227,13003.0,149.0
2022-07-01,2453,10,0.01,0.0,150,365,False,True,10,climate,True,0.066681415,111.927795,5663.0,35.0
2022-08-01,2433,10,0.01,0.0,150,365,False,True,10,climate,True,0.07835385,452.8293,5663.0,150.0
2022-09-01,5775,30,0.01,0.0,150,425,False,True,10,FCS,True,0.051529758,41.600105,13003.0,7.0
2022-10-01,5755,30,0.01,0.0,150,425,False,True,10,FCS,True,0.061870985,172.3213,13003.0,49.0
2022-11-01,5735,30,0.01,0.0,150,425,False,True,10,FCS,True,0.0750842,92.26544,13003.0,34.0
2022-12-01,5715,30,0.01,0.0,150,425,False,True,10,FCS,True,0.04967708,69.95913,13003.0,17.0
2023-01-01,2336,10,0.01,0.0,150,425,False,True,10,FCS+,True,0.18732071,536.4487,3063.0,150.0
2023-02-01,5670,30,0.01,0.0,150,365,False,True,10,FCS,True,0.063966535,97.00396,13003.0,26.0
2023-03-01,5655,30,0.01,0.0,150,425,False,True,10,FCS,True,0.077793136,125.01997,13003.0,42.0
2023-04-01,5635,30,0.01,0.0,150,425,False,True,10,FCS,True,0.09754583,113.81142,13003.0,25.0
2023-05-01,5615,30,0.01,0.0,150,425,False,True,10,FCS,True,0.09888949,83.25585,13003.0,19.0
