split_date,Unnamed: 0,units,learning_rate,dropout,epochs,n_steps_in,simple,early_stopping,smoothing,features,differencing,metric30,metric60,metric90,time30,time60,time90,parameter30,parameter60,parameter90,epochs30,epochs60,epochs90
2022-06-01,3598,30,0.0001,0.0,150,425,False,True,10,climate,True,0.071417294,0.121581905,0.13078447,430.68417,244.85594,457.99146,32842.0,32842.0,32842.0,113.0,58.0,105.0
2022-07-01,3566,30,0.0001,0.0,150,180,False,True,10,FCS+,True,,0.03667489,0.04340331,19.163807,231.1112,298.11102,19642.0,19642.0,19642.0,1.0,118.0,101.0
2022-08-01,6076,30,0.01,0.1,150,425,False,True,10,FCS+,True,,0.039983936,,52.95561,270.78647,55.93406,19642.0,19642.0,19642.0,1.0,29.0,1.0
2022-09-01,2416,10,0.01,0.0,150,425,False,True,10,FCS+,True,,0.057832193,0.06283717,27.880049,87.02154,292.4618,4162.0,4162.0,4162.0,1.0,17.0,67.0
2022-10-01,1821,50,0.01,0.0,150,180,False,True,10,FCS,True,0.039751045,0.048004054,0.058482997,58.08615,232.12244,54.162403,35922.0,35922.0,35922.0,18.0,76.0,14.0
2022-11-01,1251,10,0.001,0.0,150,365,False,True,10,FCS+,True,0.028672732,0.038561154,0.18130025,564.92615,140.83961,110.346695,4162.0,4162.0,4162.0,144.0,33.0,20.0
2022-12-01,6277,30,0.01,0.5,150,425,False,True,10,economics,True,0.03751867,129486316000.0,,231.98567,87.80483,77.37858,54322.0,54322.0,54322.0,20.0,6.0,1.0
2023-01-01,2332,10,0.01,0.0,150,365,False,True,10,economics,True,0.03458011,0.041644372,,54.995445,45.445538,39.13555,15722.0,15722.0,15722.0,9.0,9.0,1.0
2023-02-01,1862,50,0.01,0.1,150,365,False,True,10,FCS,True,,0.035000384,0.058328435,52.317894,389.01157,186.49832,35922.0,35922.0,35922.0,1.0,43.0,31.0
2023-03-01,1859,50,0.01,0.1,150,425,False,True,10,FCS,True,0.021653352,0.32931298,0.06790733,93.16579,69.799194,192.06784,35922.0,35922.0,35922.0,8.0,2.0,18.0
2023-04-01,9266,50,0.01,0.1,150,180,False,True,10,FCS+,True,,297.04596,,48.216568,53.403435,53.994144,44722.0,44722.0,44722.0,1.0,2.0,1.0
2023-05-01,1850,50,0.01,0.1,150,365,False,True,10,FCS,True,,0.084765576,0.08598184,55.521404,90.383446,184.45686,35922.0,35922.0,35922.0,1.0,11.0,17.0
