split_date,Unnamed: 0,n_dim,runs,n_rad,w_in_scale,degree,reg_param,differencing,features,smoothing,metric30,metric60,metric90,time30,time60,time90,parameter30,parameter60,parameter90
2022-06-01,17616,1000,100,1.3,0.1,8,1e-05,False,FCS+,10,0.0412745392276335,0.0695736136346629,0.074637236578864,2136.7215831279755,2136.7215831279755,2136.7215831279755,80000.0,80000.0,80000.0
2022-07-01,26846,1000,100,1.7000000000000002,1.0,8,0.001,False,FCS+,10,0.0692845574803789,0.0730577966797697,0.0747087544499914,809.6678202152252,809.6678202152252,809.6678202152252,80000.0,80000.0,80000.0
2022-08-01,17596,1000,100,1.3,0.1,8,1e-05,False,FCS+,10,0.0579565707383177,0.0664920177870811,0.0795107703538421,2127.581936597824,2127.581936597824,2127.581936597824,80000.0,80000.0,80000.0
2022-09-01,34105,1000,100,2.1,1.0,8,10.0,False,FCS,10,0.0467416325538735,0.0675876814879838,0.0715653442297649,795.1519689559937,795.1519689559937,795.1519689559937,26000.0,26000.0,26000.0
2022-10-01,10856,1000,100,0.9000000000000001,0.1,8,0.1,False,FCS+,10,0.0527898984390534,0.0542140290114365,0.064106357760034,2137.710718870163,2137.710718870163,2137.710718870163,80000.0,80000.0,80000.0
2022-11-01,10846,1000,100,0.9000000000000001,0.1,8,0.1,False,FCS+,10,0.0457598340947981,0.063352908335762,0.0749103811608918,2125.407701253891,2125.407701253891,2125.407701253891,80000.0,80000.0,80000.0
2022-12-01,27358,1000,100,1.7000000000000002,1.5,8,1e-05,False,climate,10,0.1353013211207735,0.2015652832603367,0.2331066524578584,804.3013134002686,804.3013134002686,804.3013134002686,210000.0,210000.0,210000.0
2023-01-01,27348,1000,100,1.7000000000000002,1.5,8,1e-05,False,climate,10,0.1674705775646038,0.2363080469175008,0.2692789073164621,801.7148969173431,801.7148969173431,801.7148969173431,210000.0,210000.0,210000.0
2023-02-01,31118,1000,100,1.9,1.5,8,0.1,False,climate,10,0.1869968510993674,0.2578008325680134,0.264732057601933,809.6863942146301,809.6863942146301,809.6863942146301,210000.0,210000.0,210000.0
2023-03-01,27608,1000,100,1.7000000000000002,1.5,8,0.1,False,climate,10,0.1226087793806078,0.1468009803525206,0.1696207129557356,813.6868011951447,813.6868011951447,813.6868011951447,210000.0,210000.0,210000.0
2023-04-01,10796,1000,100,0.9000000000000001,0.1,8,0.1,False,FCS+,10,0.0486017027528892,0.0482387447360813,0.051233691546806,2120.856253147125,2120.856253147125,2120.856253147125,80000.0,80000.0,80000.0
2023-05-01,10786,1000,100,0.9000000000000001,0.1,8,0.1,False,FCS+,10,0.0403401478551596,0.0521592782158102,0.0568202716592446,2140.8706080913544,2140.8706080913544,2140.8706080913544,80000.0,80000.0,80000.0
