,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,food_inflation,headline_inflation,pewi_1,pewi_1,pewi_1,pewi_1,pewi_1,pewi_1,pewi_1,pewi_1,pewi_1,pewi_5,pewi_5,pewi_5,pewi_5,pewi_5,pewi_5,pewi_5,pewi_5,pewi_5,pewi_6,pewi_6,pewi_6,pewi_6,pewi_6,pewi_6,pewi_6,pewi_6,pewi_7,pewi_7,pewi_7,pewi_7,pewi_7,pewi_7,pewi_7,pewi_7,pewi_6,Battles,Remote violence,Violence against civilians,Battles,Violence against civilians,Battles,Violence against civilians,Battles,Violence against civilians,Battles,Violence against civilians,Battles,Violence against civilians,Battles,Violence against civilians,Battles,Violence against civilians,Battles,Violence against civilians,Battles,Violence against civilians,CE official,rainfall_value,rainfall_value,rainfall_value,rainfall_value,rainfall_value,rainfall_value,rainfall_value,rainfall_value,rainfall_value,rainfall_value,rainfall_1_month_anomaly,rainfall_1_month_anomaly,rainfall_1_month_anomaly,rainfall_1_month_anomaly,rainfall_1_month_anomaly,rainfall_1_month_anomaly,rainfall_1_month_anomaly,rainfall_1_month_anomaly,rainfall_1_month_anomaly,rainfall_1_month_anomaly,rainfall_3_months_anomaly,rainfall_3_months_anomaly,rainfall_3_months_anomaly,rainfall_3_months_anomaly,rainfall_3_months_anomaly,rainfall_3_months_anomaly,rainfall_3_months_anomaly,rainfall_3_months_anomaly,rainfall_3_months_anomaly,rainfall_3_months_anomaly,ndvi_value,ndvi_value,ndvi_value,ndvi_value,ndvi_value,ndvi_value,ndvi_value,ndvi_value,ndvi_value,ndvi_value,ndvi_anomaly,ndvi_anomaly,ndvi_anomaly,ndvi_anomaly,ndvi_anomaly,ndvi_anomaly,ndvi_anomaly,ndvi_anomaly,ndvi_anomaly,ndvi_anomaly,rainfall_ndvi_seasonality,rainfall_ndvi_seasonality,rainfall_ndvi_seasonality,rainfall_ndvi_seasonality,rainfall_ndvi_seasonality,rainfall_ndvi_seasonality,rainfall_ndvi_seasonality,rainfall_ndvi_seasonality,rainfall_ndvi_seasonality,rainfall_ndvi_seasonality
,901001,901002,901003,901004,901005,901006,901007,901008,901009,901010,901001,901002,901003,901004,901005,901006,901007,901008,901009,901010,national,national,901001,901002,901003,901004,901005,901006,901007,901008,901009,901001,901002,901003,901004,901005,901006,901007,901008,901009,901001,901002,901003,901004,901005,901006,901007,901008,901001,901002,901003,901004,901005,901008,901009,901006,901009,901001,901001,901001,901002,901002,901003,901003,901004,901004,901005,901005,901006,901006,901007,901007,901008,901008,901009,901009,901010,901010,national,901009,901008,901007,901006,901005,901004,901003,901002,901001,901010,901009,901008,901007,901006,901005,901004,901003,901002,901001,901010,901009,901008,901007,901006,901005,901004,901003,901002,901001,901010,901009,901008,901007,901006,901005,901004,901003,901002,901001,901010,901009,ndvi_anomaly,901007,901006,901005,901004,901003,901002,901001,901010,901001,901002,901003,901004,901005,901006,901007,901008,901009,901010
2022-01-01,0.43234375,0.359729805,0.34181675,0.440887871,0.299481564,0.334477692,0.400529213,0.512397614,0.575133514,0.473371887,0.453262482,0.418846169,0.50943615,0.494209099,0.47372509,0.536422157,0.495409889,0.624947052,0.657872162,0.456349564,25.99032258,24.35451613,-0.191820276,0.858341014,0.291520737,1.844666667,0.518387097,-0.326529954,0.592822581,0.768940092,-0.329193548,-0.372607527,-0.430080645,-0.170967742,-0.518387097,-0.198709677,-0.832258065,0.04733871,-0.675,-0.117983871,-0.761935484,-0.388064516,-0.659677419,0.996935484,-1.221935484,0.065483871,1.966935484,3.105483871,0.712903226,0.231935484,-0.055322581,1.786129032,0.868064516,3.156129032,1.704193548,-1.02,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,16.04290909,16.07527273,10.1348,7.7496,9.392290909,22.86450909,27.73634545,6.979036364,7.152427273,12.70866364,0.802613545,0.593155,0.690329545,0.836237727,0.865585364,0.760018182,0.818950727,0.903166545,0.812601727,0.707435,0.617890455,0.486993,0.505325727,0.610415545,0.677107091,0.598397091,0.655444455,0.523878182,0.535049,0.539174,0.608763636,0.8066,0.706727273,0.567727273,0.547545455,0.6923,0.720345455,0.705218182,0.581027273,0.752445455,0.915153182,ndvi_anomaly,0.984362727,0.946070909,0.951106,0.985002909,0.967279182,1.005939909,0.978704,1.006542091,0,0,1,1,0,0,1,1,1,0
2022-01-02,0.43234375,0.38367424,0.341108246,0.423467407,0.311446247,0.349970055,0.386088295,0.509481621,0.568921852,0.47470047,0.453262482,0.442790604,0.515977554,0.473198471,0.475799637,0.570315781,0.520538712,0.622881546,0.655589523,0.456586952,25.96451613,24.33322581,-0.198508065,0.863200205,0.293640553,1.842,0.527540323,-0.318147465,0.587741935,0.776149514,-0.340645161,-0.362580645,-0.421935484,-0.184892473,-0.542123656,-0.204032258,-0.841693548,0.046129032,-0.69,-0.126612903,-0.766451613,-0.453548387,-0.662258065,1.066451613,-1.216451613,0.061612903,1.976451613,3.231612903,0.699677419,0.266451613,-0.037741935,1.867096774,0.923548387,3.297096774,1.725645161,-1.02,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,16.38507273,16.11788182,10.0112,7.7265,9.573027273,22.97257273,28.31946364,7.032190909,7.182918182,12.76030909,0.803415364,0.591139,0.693324364,0.839913818,0.868764909,0.765135455,0.825043818,0.907778364,0.816266818,0.709667,0.622040636,0.487808,0.509262818,0.609080364,0.679002727,0.595848727,0.654157636,0.527841455,0.535813,0.541899,0.608709091,0.8061,0.705618182,0.565118182,0.545863636,0.6911,0.719563636,0.703745455,0.578918182,0.751163636,0.916374455,ndvi_anomaly,0.984533818,0.945624273,0.951417,0.984922273,0.967478455,1.006166273,0.978879,1.006626727,0,0,1,1,0,0,1,1,1,0
2022-01-03,0.43234375,0.399847565,0.336064339,0.424731369,0.326623535,0.33055603,0.377878685,0.476512184,0.554676323,0.462466164,0.453262482,0.435980072,0.506523743,0.471159439,0.45897686,0.580693321,0.525364838,0.587288933,0.656323776,0.471136742,25.93870968,24.31193548,-0.205195853,0.868059396,0.295760369,1.839333333,0.536693548,-0.309764977,0.58266129,0.783358935,-0.352096774,-0.352553763,-0.413790323,-0.198817204,-0.565860215,-0.209354839,-0.851129032,0.044919355,-0.705,-0.135241935,-0.770967742,-0.519032258,-0.66483871,1.135967742,-1.210967742,0.057741935,1.985967742,3.357741935,0.686451613,0.300967742,-0.02016129,1.948064516,0.979032258,3.438064516,1.747096774,-1.02,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,16.72723636,16.16049091,9.8876,7.7034,9.753763636,23.08063636,28.90258182,7.085345455,7.213409091,12.81195455,0.804217182,0.589123,0.696319182,0.843589909,0.871944455,0.770252727,0.831136909,0.912390182,0.819931909,0.711899,0.626190818,0.488623,0.513199909,0.607745182,0.680898364,0.593300364,0.652870818,0.531804727,0.536577,0.544624,0.608654545,0.8056,0.704509091,0.562509091,0.544181818,0.6899,0.718781818,0.702272727,0.576809091,0.749881818,0.917595727,ndvi_anomaly,0.984704909,0.945177636,0.951728,0.984841636,0.967677727,1.006392636,0.979054,1.006711364,0,0,1,1,0,0,1,1,1,0
2022-01-04,0.446251793,0.403316002,0.343701897,0.432253075,0.324541588,0.340059166,0.370275841,0.5152742,0.566807518,0.472452011,0.445526848,0.436196823,0.500471802,0.47296051,0.449642258,0.587017632,0.527266846,0.611713638,0.663666611,0.462870789,25.91290323,24.29064516,-0.211883641,0.872918587,0.297880184,1.836666667,0.545846774,-0.301382488,0.577580645,0.790568356,-0.363548387,-0.342526882,-0.405645161,-0.212741935,-0.589596774,-0.214677419,-0.860564516,0.043709677,-0.72,-0.143870968,-0.775483871,-0.584516129,-0.667419355,1.205483871,-1.205483871,0.053870968,1.995483871,3.483870968,0.673225806,0.335483871,-0.002580645,2.029032258,1.034516129,3.579032258,1.768548387,-1.02,-0.6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.95,17.0694,16.2031,9.764,7.6803,9.9345,23.1887,29.4857,7.1385,7.2439,12.8636,0.805019,0.587107,0.699314,0.847266,0.875124,0.77537,0.83723,0.917002,0.823597,0.714131,0.630341,0.489438,0.517137,0.60641,0.682794,0.590752,0.651584,0.535768,0.537341,0.547349,0.6086,0.8051,0.7034,0.5599,0.5425,0.6887,0.718,0.7008,0.5747,0.7486,0.918817,ndvi_anomaly,0.984876,0.944731,0.952039,0.984761,0.967877,1.006619,0.979229,1.006796,0,0,1,1,0,0,1,1,1,0
2022-01-05,0.446251793,0.373469009,0.339101334,0.434883347,0.317592201,0.337250404,0.384558601,0.520021324,0.557800636,0.471735039,0.445526848,0.443926277,0.518568954,0.47122776,0.448961563,0.582799568,0.516867371,0.605121193,0.682375717,0.455184593,25.88709677,24.26935484,-0.218571429,0.877777778,0.3,1.834,0.555,-0.293,0.5725,0.797777778,-0.375,-0.3325,-0.3975,-0.226666667,-0.613333333,-0.22,-0.87,0.0425,-0.735,-0.1525,-0.78,-0.65,-0.67,1.275,-1.2,0.05,2.005,3.61,0.66,0.37,0.015,2.11,1.09,3.72,1.79,-1.02,-0.6,17,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,98.63333333,15.90829,16.5031,10.15839,7.37375,9.24462,21.94341,27.65427,7.29234,7.2,12.94088,0.8084069,0.5888611,0.7029766,0.8517321,0.8780537,0.7813989,0.8456655,0.912454,0.8282646,0.7209271,0.6274516,0.4886822,0.5134706,0.603444,0.6777195,0.5876232,0.6468465,0.5361829,0.536619,0.5427342,0.60925,0.80444,0.70218,0.55716,0.54079,0.68732,0.71725,0.69913,0.57233,0.7472,0.9213469,ndvi_anomaly,0.9855116,0.9448019,0.9529616,0.9848123,0.9685466,1.0074019,0.979775,1.0073576,0,0,1,1,0,0,1,1,1,0
2022-01-06,0.446251793,0.36484581,0.343014984,0.436018677,0.326527786,0.333711548,0.384850311,0.507617264,0.560765305,0.47859066,0.445526848,0.445241814,0.524188766,0.461163139,0.436878853,0.585975418,0.504367065,0.599063416,0.681882324,0.43821434,25.86129032,24.24806452,-0.214423963,0.8653149,0.310967742,1.811677419,0.542626728,-0.263629032,0.564612903,0.781962366,-0.362311828,-0.322741935,-0.397688172,-0.222150538,-0.618548387,-0.224731183,-0.85766129,0.030080645,-0.722688172,-0.156370968,-0.665967742,-0.650967742,-0.561612903,1.203870968,-1.011290323,0.080322581,2.005322581,3.538709677,0.668387097,0.363064516,-0.010967742,2.064745763,1.145483871,3.744193548,1.751612903,-0.944193548,-0.6,27,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,98.31666667,14.74718,16.8031,10.55278,7.0672,8.55474,20.69812,25.82284,7.44618,7.1561,13.01816,0.8117948,0.5906152,0.7066392,0.8561982,0.8809834,0.7874278,0.854101,0.907906,0.8329322,0.7277232,0.6245622,0.4879264,0.5098042,0.600478,0.672645,0.5844944,0.642109,0.5365978,0.535897,0.5381194,0.6099,0.80378,0.70096,0.55442,0.53908,0.68594,0.7165,0.69746,0.56996,0.7458,0.9238768,ndvi_anomaly,0.9861472,0.9448728,0.9538842,0.9848636,0.9692162,1.0081848,0.980321,1.0079192,0,0,1,1,0,0,1,1,1,0
2022-01-07,0.446251793,0.363610916,0.332487717,0.424020729,0.318521862,0.32063324,0.416577187,0.454253235,0.530905304,0.480619507,0.445526848,0.443742256,0.515784607,0.452274475,0.456386147,0.577318268,0.535744591,0.556841469,0.694173965,0.419140625,25.83548387,24.22677419,-0.210276498,0.852852023,0.321935484,1.789354839,0.530253456,-0.234258065,0.556725806,0.766146953,-0.349623656,-0.312983871,-0.397876344,-0.217634409,-0.623763441,-0.229462366,-0.845322581,0.01766129,-0.710376344,-0.160241935,-0.551935484,-0.651935484,-0.453225806,1.132741935,-0.822580645,0.110645161,2.005645161,3.467419355,0.676774194,0.356129032,-0.036935484,2.019491525,1.200967742,3.768387097,1.713225806,-0.868387097,-0.6,27,0,25,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,98,13.58607,17.1031,10.94717,6.76065,7.86486,19.45283,23.99141,7.60002,7.1122,13.09544,0.8151827,0.5923693,0.7103018,0.8606643,0.8839131,0.7934567,0.8625365,0.903358,0.8375998,0.7345193,0.6216728,0.4871706,0.5061378,0.597512,0.6675705,0.5813656,0.6373715,0.5370127,0.535175,0.5335046,0.61055,0.80312,0.69974,0.55168,0.53737,0.68456,0.71575,0.69579,0.56759,0.7444,0.9264067,ndvi_anomaly,0.9867828,0.9449437,0.9548068,0.9849149,0.9698858,1.0089677,0.980867,1.0084808,0,0,1,1,0,0,1,1,1,0
2022-01-08,0.446251793,0.344385033,0.33496109,0.393945045,0.313981056,0.296534119,0.415726013,0.471660538,0.548744011,0.457930527,0.445526848,0.448575363,0.515679626,0.434031105,0.459765358,0.551025429,0.5443433,0.566908531,0.700244675,0.400905838,25.80967742,24.20548387,-0.206129032,0.840389145,0.332903226,1.767032258,0.517880184,-0.204887097,0.54883871,0.750331541,-0.336935484,-0.303225806,-0.398064516,-0.21311828,-0.628978495,-0.234193548,-0.832983871,0.005241935,-0.698064516,-0.164112903,-0.437903226,-0.652903226,-0.34483871,1.061612903,-0.633870968,0.140967742,2.005967742,3.396129032,0.68516129,0.349193548,-0.062903226,1.974237288,1.256451613,3.792580645,1.67483871,-0.792580645,-0.6,27,0,25,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,98,12.42496,17.4031,11.34156,6.4541,7.17498,18.20754,22.15998,7.75386,7.0683,13.17272,0.8185706,0.5941234,0.7139644,0.8651304,0.8868428,0.7994856,0.870972,0.89881,0.8422674,0.7413154,0.6187834,0.4864148,0.5024714,0.594546,0.662496,0.5782368,0.632634,0.5374276,0.534453,0.5288898,0.6112,0.80246,0.69852,0.54894,0.53566,0.68318,0.715,0.69412,0.56522,0.743,0.9289366,ndvi_anomaly,0.9874184,0.9450146,0.9557294,0.9849662,0.9705554,1.0097506,0.981413,1.0090424,0,0,1,1,0,0,1,1,1,0
2022-01-09,0.446251793,0.342080002,0.327890587,0.387957954,0.325392075,0.288262424,0.425293922,0.497956657,0.528952675,0.472367325,0.445526848,0.468877106,0.491515083,0.412726326,0.436195717,0.547370605,0.554072952,0.520051689,0.667701645,0.398641663,25.78387097,24.18419355,-0.201981567,0.827926267,0.343870968,1.744709677,0.505506912,-0.175516129,0.540951613,0.734516129,-0.324247312,-0.293467742,-0.398252688,-0.208602151,-0.634193548,-0.238924731,-0.820645161,-0.007177419,-0.685752688,-0.167983871,-0.323870968,-0.653870968,-0.236451613,0.990483871,-0.44516129,0.171290323,2.006290323,3.32483871,0.693548387,0.342258065,-0.088870968,1.928983051,1.311935484,3.816774194,1.636451613,-0.716774194,-0.6,27,0,26,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,100,11.26385,17.7031,11.73595,6.14755,6.4851,16.96225,20.32855,7.9077,7.0244,13.25,0.8219585,0.5958775,0.717627,0.8695965,0.8897725,0.8055145,0.8794075,0.894262,0.846935,0.7481115,0.615894,0.485659,0.498805,0.59158,0.6574215,0.575108,0.6278965,0.5378425,0.533731,0.524275,0.61185,0.8018,0.6973,0.5462,0.53395,0.6818,0.71425,0.69245,0.56285,0.7416,0.9314665,ndvi_anomaly,0.988054,0.9450855,0.956652,0.9850175,0.971225,1.0105335,0.981959,1.009604,0,0,1,1,0,0,1,1,1,0
