,date,adm1_code,data,prediction,split,forecast_step
1293,2022-10-01,900218,0.5725985891452698,0.5602553952956096,5,1
1294,2022-10-02,900218,0.572884192445611,0.5550357376485571,5,2
1295,2022-10-03,900218,0.5739303405773081,0.5503632944349501,5,3
1296,2022-10-04,900218,0.5736786886518168,0.5467916310775163,5,4
1297,2022-10-05,900218,0.5723811069140892,0.5408519066424933,5,5
1298,2022-10-06,900218,0.5696866307764349,0.5364960598612172,5,6
1299,2022-10-07,900218,0.5674874029911815,0.5328714447123282,5,7
1300,2022-10-08,900218,0.565032606495827,0.5283202810537054,5,8
1301,2022-10-09,900218,0.5633444242250184,0.5267694508664624,5,9
1302,2022-10-10,900218,0.5600298259092953,0.5240039673236784,5,10
1303,2022-10-11,900218,0.5588115218627204,0.5215224932615476,5,11
1304,2022-10-12,900218,0.5590023597726572,0.5243376310690111,5,12
1305,2022-10-13,900218,0.5589641202633459,0.5246922565811719,5,13
1306,2022-10-14,900218,0.5593021588911283,0.5263300725656649,5,14
1307,2022-10-15,900218,0.5602813197214745,0.5281036402331197,5,15
1308,2022-10-16,900218,0.5607191024393658,0.5293763881375478,5,16
1309,2022-10-17,900218,0.561502607652932,0.5290132703290142,5,17
1310,2022-10-18,900218,0.5627659348396076,0.5291434189482385,5,18
1311,2022-10-19,900218,0.5643111542126393,0.5288292707716388,5,19
1312,2022-10-20,900218,0.5660093249302518,0.5356686153180039,5,20
1313,2022-10-21,900218,0.5656584015838372,0.5424111437814709,5,21
1314,2022-10-22,900218,0.5651494123591696,0.5451018948648656,5,22
1315,2022-10-23,900218,0.5638944437844314,0.5455782514790871,5,23
1316,2022-10-24,900218,0.5625150853580139,0.5453540359651383,5,24
1317,2022-10-25,900218,0.5607894496637043,0.5461237957520035,5,25
1318,2022-10-26,900218,0.5601785662385763,0.5442496158931469,5,26
1319,2022-10-27,900218,0.5587993483117875,0.542953958723485,5,27
1320,2022-10-28,900218,0.5580455636575334,0.5415992736964929,5,28
