,date,adm1_code,data,prediction,split,forecast_step
1232,2022-08-01,900218,0.5976421724577247,0.599322044145817,3,1
1233,2022-08-02,900218,0.5988258442208344,0.6022038675611128,3,2
1234,2022-08-03,900218,0.5977558118695989,0.6019401338179493,3,3
1235,2022-08-04,900218,0.5934054258282153,0.6066329482033999,3,4
1236,2022-08-05,900218,0.5885410209647872,0.6072447459416794,3,5
1237,2022-08-06,900218,0.581833742942604,0.5999005157559814,3,6
1238,2022-08-07,900218,0.5771244311815036,0.5942035379652069,3,7
1239,2022-08-08,900218,0.5733494489217233,0.5982951986310021,3,8
1240,2022-08-09,900218,0.5691152084368121,0.593971507781223,3,9
1241,2022-08-10,900218,0.56877918056816,0.5816146258190074,3,10
1242,2022-08-11,900218,0.5728599119295689,0.5740464676783035,3,11
1243,2022-08-12,900218,0.5769320088365473,0.5817165027650247,3,12
1244,2022-08-13,900218,0.5808368212072527,0.5781601835362491,3,13
1245,2022-08-14,900218,0.5858371652732213,0.5615835223986643,3,14
1246,2022-08-15,900218,0.5876109709485462,0.5603931207431281,3,15
1247,2022-08-16,900218,0.5895882548215186,0.5630238313234486,3,16
1248,2022-08-17,900218,0.5912234043912162,0.5539851162040539,3,17
1249,2022-08-18,900218,0.592516035090515,0.545241623954712,3,18
1250,2022-08-19,900218,0.5944048834327911,0.5511977155498289,3,19
1251,2022-08-20,900218,0.5947800026588379,0.5510480615842507,3,20
1252,2022-08-21,900218,0.5890740267499417,0.5368903235912486,3,21
1253,2022-08-22,900218,0.5832563498220729,0.5339320980989872,3,22
1254,2022-08-23,900218,0.5781308159910387,0.5330372272258299,3,23
1255,2022-08-24,900218,0.5725258679672439,0.532872924329366,3,24
1256,2022-08-25,900218,0.5694490264314036,0.5280417039568455,3,25
1257,2022-08-26,900218,0.5671638695310437,0.5187991848680842,3,26
1258,2022-08-27,900218,0.5636794500596393,0.5192799755250138,3,27
1259,2022-08-28,900218,0.5598319011023378,0.5251346323474295,3,28
1260,2022-08-29,900218,0.5563882176659632,0.5176249272350021,3,29
1261,2022-08-30,900218,0.5509667431539894,0.503392655369659,3,30
1262,2022-08-31,900218,0.5484597201569189,0.5046751592796024,3,31
1263,2022-09-01,900218,0.5475291032104981,0.5083795389510649,3,32
1264,2022-09-02,900218,0.5470672766909905,0.5046528436288864,3,33
1265,2022-09-03,900218,0.5485959541499535,0.4993531138573943,3,34
1266,2022-09-04,900218,0.5527687104996012,0.5017152780077501,3,35
1267,2022-09-05,900218,0.5566864158948125,0.511547458393788,3,36
1268,2022-09-06,900218,0.5609047823324314,0.5064615615448274,3,37
1269,2022-09-07,900218,0.5646007644157127,0.5019909596743973,3,38
1270,2022-09-08,900218,0.5672346181364889,0.5001307068181777,3,39
1271,2022-09-09,900218,0.5713585415976873,0.5011429265061897,3,40
1272,2022-09-10,900218,0.5726899988880083,0.4990649806206876,3,41
1273,2022-09-11,900218,0.5712985958359154,0.49199419339964245,3,42
1274,2022-09-12,900218,0.5686642066712032,0.49157426117114844,3,43
1275,2022-09-13,900218,0.5645680033546407,0.49239285153496404,3,44
1276,2022-09-14,900218,0.5592698531494283,0.494872313850168,3,45
1277,2022-09-15,900218,0.5554858385356072,0.4926287475607693,3,46
1278,2022-09-16,900218,0.5517827433328097,0.4933458190635994,3,47
1279,2022-09-17,900218,0.5467290220342551,0.49039676218708794,3,48
1280,2022-09-18,900218,0.5422761529626544,0.49121586134855943,3,49
1281,2022-09-19,900218,0.5377725922460946,0.5001531250934083,3,50
1282,2022-09-20,900218,0.5359979791549578,0.5075473507607839,3,51
1283,2022-09-21,900218,0.5372289602209378,0.49439902516952305,3,52
1284,2022-09-22,900218,0.539239521632983,0.5013879998922369,3,53
1285,2022-09-23,900218,0.5412960408553948,0.5047435099828255,3,54
1286,2022-09-24,900218,0.5444400704587311,0.5094041798555694,3,55
1287,2022-09-25,900218,0.5474347350013122,0.5055929269800536,3,56
1288,2022-09-26,900218,0.5508254814685316,0.500861061959124,3,57
1289,2022-09-27,900218,0.5558990994871676,0.5078643841492863,3,58
1290,2022-09-28,900218,0.5606692844619097,0.5076228364357421,3,59
3008,2022-08-01,900219,0.5980633396626335,0.5889230428003149,3,1
3009,2022-08-02,900219,0.6032094194764392,0.578580201111444,3,2
3010,2022-08-03,900219,0.6069578442214908,0.5730411643426033,3,3
3011,2022-08-04,900219,0.6090418211620632,0.5749020093688217,3,4
3012,2022-08-05,900219,0.6106840254120358,0.5676774675242898,3,5
3013,2022-08-06,900219,0.6121050210819422,0.5563181916964131,3,6
3014,2022-08-07,900219,0.6144234207751407,0.550599981965358,3,7
3015,2022-08-08,900219,0.6157779569832157,0.5553441857660777,3,8
3016,2022-08-09,900219,0.6204640071472403,0.5477810126656515,3,9
3017,2022-08-10,900219,0.6238561052663021,0.5400134911978793,3,10
3018,2022-08-11,900219,0.6234488497680262,0.5432374103077291,3,11
3019,2022-08-12,900219,0.6209254045758885,0.5468655586422417,3,12
3020,2022-08-13,900219,0.617859411784755,0.5414793717378443,3,13
3021,2022-08-14,900219,0.6181985378225116,0.5417657491419443,3,14
3022,2022-08-15,900219,0.6168527833948014,0.5488291882319424,3,15
3023,2022-08-16,900219,0.6162057594661373,0.5570895079560347,3,16
3024,2022-08-17,900219,0.6138186945135822,0.5592744298595178,3,17
3025,2022-08-18,900219,0.6127541000810284,0.5497953959206165,3,18
3026,2022-08-19,900219,0.607146072215558,0.5567897962641231,3,19
3027,2022-08-20,900219,0.6047549475074746,0.5648667535372687,3,20
3028,2022-08-21,900219,0.6035197560403871,0.5611052625981219,3,21
3029,2022-08-22,900219,0.602388914014699,0.5595093473946715,3,22
3030,2022-08-23,900219,0.6036314186405052,0.5606049970112921,3,23
3031,2022-08-24,900219,0.6013539825791725,0.5681615762040866,3,24
3032,2022-08-25,900219,0.6034911053392029,0.5631628336144432,3,25
3033,2022-08-26,900219,0.6050905977879405,0.5590186587957271,3,26
3034,2022-08-27,900219,0.6083118777181089,0.5662433423813311,3,27
3035,2022-08-28,900219,0.6117743580179626,0.5835322191153005,3,28
3036,2022-08-29,900219,0.6157885413030768,0.5770587256518985,3,29
3037,2022-08-30,900219,0.6175908999968095,0.5796954186516763,3,30
3038,2022-08-31,900219,0.6192573260773526,0.5844818249773869,3,31
3039,2022-09-01,900219,0.6210784722710383,0.5960943081069193,3,32
3040,2022-09-02,900219,0.6216970348982581,0.5930321591477081,3,33
3041,2022-09-03,900219,0.6242916348192165,0.5889073537179841,3,34
3042,2022-09-04,900219,0.6271748839886786,0.5840404860708697,3,35
3043,2022-09-05,900219,0.6301212426267878,0.5950888371256646,3,36
3044,2022-09-06,900219,0.6321693092532927,0.6012829886828996,3,37
3045,2022-09-07,900219,0.6342441820480107,0.5919585034642372,3,38
3046,2022-09-08,900219,0.636549286558237,0.5897937548791993,3,39
3047,2022-09-09,900219,0.6388547347114784,0.5948252284077737,3,40
3048,2022-09-10,900219,0.6417395441325633,0.5963925546844733,3,41
3049,2022-09-11,900219,0.6458640958710811,0.5847179926926231,3,42
3050,2022-09-12,900219,0.6493862120968932,0.5953599408354999,3,43
3051,2022-09-13,900219,0.6545823705675048,0.5861033195421759,3,44
3052,2022-09-14,900219,0.6581334061529144,0.5976929633467241,3,45
3053,2022-09-15,900219,0.6608554485089368,0.5934817558403482,3,46
3054,2022-09-16,900219,0.66323643229112,0.5924962992650881,3,47
3055,2022-09-17,900219,0.6661324785114471,0.5925815687804465,3,48
3056,2022-09-18,900219,0.6704336789944317,0.6096091582127441,3,49
3057,2022-09-19,900219,0.6756622954749856,0.5962322954959134,3,50
3058,2022-09-20,900219,0.6797217044550596,0.6073406479502322,3,51
3059,2022-09-21,900219,0.6824038382453518,0.5965736046003549,3,52
3060,2022-09-22,900219,0.6863991010120557,0.6148767407793637,3,53
3061,2022-09-23,900219,0.6882927293372604,0.602722926867647,3,54
3062,2022-09-24,900219,0.6923857908158759,0.6181618962257542,3,55
3063,2022-09-25,900219,0.6958770899270299,0.6154591281186881,3,56
3064,2022-09-26,900219,0.6993716195197421,0.6324109018466684,3,57
3065,2022-09-27,900219,0.7014046981256318,0.6253324289001037,3,58
3066,2022-09-28,900219,0.7013155050430079,0.6276801910388905,3,59
4784,2022-08-01,900220,0.43359664247146945,0.43362164807077264,3,1
4785,2022-08-02,900220,0.4280096598393343,0.4302379777660815,3,2
4786,2022-08-03,900220,0.4231064943116656,0.422369710793031,3,3
4787,2022-08-04,900220,0.4206278320949073,0.4185277940094688,3,4
4788,2022-08-05,900220,0.41736047215415895,0.4139802809105598,3,5
4789,2022-08-06,900220,0.41715129032267173,0.4158466591651432,3,6
4790,2022-08-07,900220,0.41932419123826115,0.4079367170157875,3,7
4791,2022-08-08,900220,0.42219439886375654,0.4108467117021291,3,8
4792,2022-08-09,900220,0.42782281999466676,0.40840636932156416,3,9
4793,2022-08-10,900220,0.4330059343191178,0.414397383429845,3,10
4794,2022-08-11,900220,0.4414954144358715,0.41142195671974346,3,11
4795,2022-08-12,900220,0.44855029841530636,0.41724759858014693,3,12
4796,2022-08-13,900220,0.4574617930227746,0.4141403495536058,3,13
4797,2022-08-14,900220,0.46554408134783143,0.4256518599386689,3,14
4798,2022-08-15,900220,0.46845372918796474,0.4203214590116966,3,15
4799,2022-08-16,900220,0.46770851481400877,0.4291945980567378,3,16
4800,2022-08-17,900220,0.46553443253120996,0.4206925457304541,3,17
4801,2022-08-18,900220,0.46588106804674023,0.4374484734374119,3,18
4802,2022-08-19,900220,0.4651645744336796,0.4362952129501043,3,19
4803,2022-08-20,900220,0.4608131078487071,0.44458440969560364,3,20
4804,2022-08-21,900220,0.45452866335768205,0.44111360625234375,3,21
4805,2022-08-22,900220,0.45176600490186625,0.45050335278815834,3,22
4806,2022-08-23,900220,0.4492352600720186,0.460568290757376,3,23
4807,2022-08-24,900220,0.44328981720346716,0.4636099251474744,3,24
